25	38	44	53	45	40	30	52	38	59	38	27	22	29	17	5	3	2
8	24	23	42	32	28	40	15	18	13	23	9	12	10	6	3	11	0
12	31	43	58	40	29	17	22	20	29	27	13	9	15	9	2	3	1
21	24	14	25	26	37	31	38	34	32	36	25	19	15	10	5	10	3
17	33	42	34	32	72	71	76	60	66	47	36	37	25	10	4	5	1
8	18	48	41	27	35	27	29	19	38	42	21	23	17	4	1	5	0
32	57	80	55	61	46	62	46	33	28	34	24	34	13	7	5	2	2
25	44	44	90	74	61	54	35	27	27	27	27	44	18	36	21	10	5
12	22	22	28	16	28	34	11	33	29	44	92	113	21	20	15	7	4
8	44	73	59	28	44	27	30	26	24	38	33	33	10	13	21	5	6
3	33	56	37	38	34	33	41	35	42	25	42	56	8	29	11	5	2
3	8	27	28	50	42	52	89	35	71	50	46	77	19	37	17	8	5
3	17	33	48	31	65	54	54	58	82	68	42	81	59	46	45	25	5
4	19	48	67	31	35	42	54	28	69	32	19	33	21	17	9	3	11
12	16	35	57	36	30	30	60	40	35	37	36	47	23	30	10	3	1
24	26	49	87	86	111	101	97	111	92	76	115	85	30	49	42	14	8
5	8	26	16	28	36	29	27	23	47	26	40	69	15	20	28	5	2
1	4	22	5	6	9	11	13	10	27	14	24	12	8	2	5	1	2
1	6	1	0	1	3	3	3	5	9	10	17	10	2	1	2	1	0
5	8	23	5	11	23	21	17	22	33	25	45	27	20	16	7	8	1
0	6	6	2	5	2	2	0	0	7	6	3	6	8	1	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
