0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	3	2	4	3	5	6	5	3	1	2	4	1	0	0	0
0	1	6	2	7	3	3	2	9	2	7	0	1	0	0	0	0	1
5	11	15	35	29	24	25	18	20	15	8	2	4	2	1	2	2	0
1	5	5	21	8	12	11	17	9	17	4	15	3	10	2	3	2	0
12	20	22	21	23	52	38	63	34	47	33	25	21	20	8	0	6	0
3	4	13	6	8	23	25	39	26	39	16	15	12	16	2	2	2	2
12	8	17	29	32	38	30	27	23	35	26	22	14	15	5	3	5	2
8	15	35	17	12	22	52	19	19	20	21	19	8	9	3	1	2	0
6	15	14	22	20	25	18	21	20	20	18	17	22	12	11	11	0	0
9	41	74	63	20	78	39	38	23	25	37	66	49	20	12	13	8	5
21	49	40	44	14	44	29	26	36	26	30	46	38	12	11	7	5	2
8	73	23	60	28	52	17	13	31	28	28	41	33	20	2	5	3	1
42	53	52	61	61	42	24	36	48	56	51	59	50	30	17	17	9	6
6	50	60	73	51	59	33	54	34	60	40	45	38	35	13	18	19	5
13	86	78	145	72	75	61	63	60	59	45	53	86	18	16	7	0	1
11	67	51	132	80	107	77	101	131	112	109	123	116	52	56	63	24	12
15	109	94	90	33	72	33	50	35	48	32	48	38	31	9	13	13	6
9	22	18	23	15	50	49	60	25	54	31	30	30	19	18	29	4	6
12	20	11	30	12	32	25	32	50	42	37	28	36	10	15	11	4	3
16	25	22	36	41	56	48	44	57	46	63	69	38	22	31	21	23	4
19	25	48	40	25	45	49	43	79	70	73	95	33	35	39	33	5	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
