52	84	0.263
84	2	0.33
2	73	0.338
73	102	0.465
102	94	0.65
94	104	0.897
104	6	0.566
6	56	0.53
56	18	0.43
18	61	0.46
61	58	0.41
58	60	0.434
60	19	0.349
19	67	0.38
67	8	0.46
8	65	0.54
65	78	0.59
78	70	0.36
70	78	0.25
78	65	0.34
65	8	0.61
8	67	0.42
67	19	0.45
19	60	0.37
60	58	0.487
58	61	0.49
61	18	0.45
18	56	0.47
56	6	0.53
6	104	0.543
104	94	0.892
94	102	0.6
102	73	0.38
73	2	0.483
2	84	0.34
84	52	0.477
16	5	0.165
5	48	0.27
48	31	0.43
31	40	0.41
40	64	0.28
64	71	0.27
71	60	0.32
60	67	0.368
67	8	0.46
8	100	0.62
100	11	0.376
11	17	0.26
17	75	0.61
75	54	0.83
54	43	1.09
43	4	0.59
4	24	2.45
24	25	0.96
25	92	0.595
92	92	0.25
92	25	0.58
25	24	0.95
24	4	2.37
4	43	0.61
43	54	1.09
54	75	0.89
75	17	0.61
17	11	0.284
11	100	0.366
100	8	0.51
8	67	0.45
67	60	0.37
60	71	0.35
71	64	0.38
64	40	0.32
40	31	0.39
31	48	0.46
48	16	0.442
52	84	0.259
84	2	0.33
2	73	0.338
73	44	0.627
44	79	0.21
79	37	0.55
37	98	0.32
98	3	0.47
3	99	0.35
99	49	0.41
49	46	0.37
46	32	0.57
32	31	0.32
31	40	0.41
40	64	0.28
64	71	0.27
71	60	0.32
60	67	0.368
67	8	0.46
8	63	0.62
63	74	0.33
74	29	0.58
29	103	0.54
103	88	0.27
88	106	0.28
106	77	0.65
77	68	0.312
68	77	0.445
77	106	0.64
106	88	0.3
88	103	0.33
103	29	0.451
29	74	0.59
74	63	0.38
63	8	0.44
8	67	0.45
67	60	0.37
60	71	0.35
71	64	0.38
64	40	0.32
40	31	0.39
31	32	0.35
32	46	0.45
46	49	0.36
49	99	0.5
99	3	0.26
3	89	0.38
89	98	0.28
98	37	0.22
37	79	0.54
79	44	0.25
44	73	0.45
73	2	0.488
2	84	0.34
84	52	0.489
67	19	0.125
19	60	0.48
60	58	0.37
58	61	0.35
61	55	0.525
55	59	0.505
59	47	0.85
47	87	0.3
87	62	0.43
62	51	0.54
51	80	0.54
80	86	0.36
86	80	0.44
80	51	0.079
51	62	0.102
62	87	0.44
87	47	0.36
47	59	0.43
59	55	0.57
55	61	0.28
61	58	0.41
58	60	0.434
60	67	0.34
52	45	0.38
45	33	0.483
33	107	0.34
107	97	0.577
97	9	0.9
9	30	0.48
30	69	0.37
69	27	0.35
27	95	0.525
95	7	0.505
7	55	0.85
55	61	0.3
61	58	0.43
58	60	0.28
60	42	0.41
42	53	0.434
53	14	0.694
14	1	0.55
1	82	0.66
82	14	0.35
14	53	0.11
53	42	0.61
42	60	0.4
60	58	0.56
58	61	0.66
61	55	0.491
55	7	0.49
7	95	0.19
95	27	0.42
27	69	0.39
69	30	0.89
30	9	0.55
9	97	0.34
97	107	0.38
107	33	0.33
33	45	0.52
45	52	0.981
20	38	0.4
38	105	0.84
105	83	0.51
83	101	0.39
101	72	0.54
72	41	0.6
41	13	0.47
13	39	0.29
39	82	0.96
82	14	0.58
14	90	0.47
90	96	0.41
96	10	0.49
10	100	0.51
100	15	0.315
15	74	0.426
74	29	0.58
29	103	0.54
103	88	0.27
88	106	0.28
106	77	0.65
77	68	0.319
68	77	0.45
77	106	0.64
106	88	0.3
88	103	0.33
103	29	0.451
29	74	0.59
74	15	0.305
15	100	0.322
100	10	0.59
10	96	0.46
96	90	0.42
90	14	0.66
14	82	0.35
82	39	0.99
39	13	0.28
13	41	0.49
41	72	0.6
72	101	0.53
101	83	0.51
83	105	0.59
105	38	0.66
38	20	0.4
52	45	0.38
45	33	0.483
33	107	0.34
107	97	0.577
97	9	0.9
9	30	0.48
30	69	0.37
69	27	0.35
27	95	0.525
95	7	0.505
7	93	0.85
93	59	0.3
59	8	0.56
8	100	0.33
100	11	0.95
11	17	0.67
17	75	0.376
75	54	0.26
54	43	0.61
43	4	0.83
4	24	1.09
24	25	0.59
25	92	2.45
92	92	0.96
92	25	0.595
25	24	0.25
24	4	0.58
4	43	0.95
43	54	2.37
54	75	0.61
75	17	1.09
17	11	0.89
11	100	0.61
100	8	0.284
8	66	0.366
66	59	0.51
59	93	0.368
93	7	0.584
7	95	0.36
95	27	0.58
27	69	0.39
69	30	0.89
30	9	0.55
9	97	0.34
97	107	0.38
107	33	0.33
33	45	0.52
45	52	0.981
22	36	0.31
36	35	0.59
35	85	0.27
85	26	0.64
26	12	0.64
12	50	0.34
50	76	0.37
76	59	0.38
59	8	0.95
8	100	0.67
100	11	0.376
11	17	0.26
17	75	0.61
75	54	0.83
54	43	1.09
43	4	0.59
4	24	2.45
24	25	0.96
25	92	0.595
92	92	0.25
92	25	0.58
25	24	0.95
24	4	2.37
4	43	0.61
43	54	1.09
54	75	0.89
75	17	0.61
17	11	0.284
11	100	0.366
100	8	0.51
8	66	0.368
66	59	0.584
59	76	0.54
76	50	0.37
50	12	0.33
12	26	0.57
26	85	0.7
85	35	0.26
35	34	0.38
34	22	0.49
23	28	0.501
28	21	0.28
21	91	0.5
91	73	0.36
73	102	0.481
102	94	0.65
94	104	0.897
104	6	0.566
6	57	0.46
57	95	0.37
95	7	0.3
7	93	0.56
93	59	0.33
59	8	0.95
8	65	0.57
65	78	0.59
78	70	0.36
70	78	0.25
78	65	0.34
65	8	0.61
8	66	0.412
66	59	0.375
59	93	0.584
93	7	0.36
7	95	0.58
95	57	0.39
57	6	0.36
6	104	0.5
104	94	0.543
94	102	0.892
102	102	0.6
102	73	0.38
73	91	0.51
91	21	0.49
21	28	0.29
28	23	0.775
22	36	0.31
36	35	0.59
35	85	0.27
85	26	0.64
26	12	0.64
12	50	0.34
50	76	0.37
76	59	0.38
59	8	0.95
8	67	0.46
67	19	0.37
19	60	0.35
60	71	0.38
71	64	0.32
64	40	0.39
40	31	0.35
31	32	0.45
32	46	0.36
46	49	0.5
49	99	0.41
99	3	0.26
3	89	0.38
89	98	0.28
98	37	0.22
37	79	0.54
79	44	0.25
44	73	0.45
73	91	0.5
91	21	0.49
21	28	0.29
28	23	0.77
23	28	0.5
28	21	0.28
21	73	0.5
73	44	0.36
44	79	0.63
79	37	0.21
37	98	0.55
98	89	0.32
89	3	0.47
3	99	0.35
99	49	0.41
49	46	0.37
46	32	0.57
32	31	0.32
31	40	0.41
40	64	0.28
64	71	0.27
71	60	0.32
60	67	0.368
67	8	0.46
8	66	0.355
66	59	0.584
59	76	0.54
76	50	0.37
50	12	0.33
12	26	0.57
26	85	0.7
85	35	0.26
35	34	0.38
34	22	0.49
16	5	0.151
5	48	0.27
48	31	0.43
31	40	0.41
40	64	0.28
64	71	0.27
71	60	0.32
60	42	0.697
42	53	0.55
53	14	0.66
14	1	0.35
1	39	0.99
39	13	0.28
13	81	0.33
81	41	0.22
41	13	0.47
13	39	0.29
39	82	0.96
82	14	0.61
14	53	0.4
53	42	0.56
42	60	0.66
60	71	0.34
71	64	0.38
64	40	0.32
40	31	0.39
31	48	0.46
48	16	0.437
