1	Antosiewicza	53.44124583466	14.5758131146431
2	Arena Szczecin	53.4571211043847	14.49643447995185
3	Arkońska Szpital	53.45244867073485	14.524884670972849
4	Basen Górniczy	53.4009747915712	14.5992274582386
5	Boguchwały	53.4472821232975	14.5526736974716
6	Bogumiły	53.4426597304276	14.528249502182
7	Bohaterów Warszawy	53.433151006502634	14.532926853495931
8	Brama Portowa	53.42498884014052	14.5508259907365
9	Brzozowskiego	53.4430535362045	14.502225369215001
10	Bulwar Piastowski	53.426423	14.564565
11	Celna	53.4207724214433	14.5626649260521
12	Cmentarz Centralny	53.42100758831435	14.52391773462295
13	Dobromiry	53.44898733727395	14.578498005867
14	Dubois	53.437781987329494	14.573742449283566
15	Dworcowa	53.42117893617022	14.55571317672728
16	Dworzec Niebuszewo	53.448228585403896	14.5527715981007
17	Energetyków	53.41913101341695	14.565718621015549
18	Felczaka	53.43621453946385	14.5379376411438
19	Filharmonia	53.430473517869544	14.5575291663408
20	Gocław	53.476033175842	14.6039789915085
21	Goplana	53.4648764799242	14.4931823015213
22	Gumieńce	53.4232820650625	14.4903364777565
23	Głębokie	53.47103753234735	14.486900568008402
24	Hangarowa	53.387698068658096	14.6260602772236
25	Jaśminowa ZUS	53.384140271624105	14.6382375061512
26	Karola Miarki	53.420578413036154	14.5149202644825
27	Karłowicza	53.43907457387945	14.52072858810425
28	Kasyno	53.46685961012081	14.490602016449
29	Kolumba	53.41474495595425	14.5465227216482
30	Konopnickiej	53.44227147163275	14.507423503986349
31	Kołłątaja	53.442738412084196	14.547488987445849
32	Krasińskiego	53.4447996559843	14.54467937350275
33	Krzekowo	53.4484245291182	14.488132596015932
34	Kręta	53.422649922983	14.4959074258804
35	Ku Słońcu	53.4214239721061	14.50121015310285
36	Kwiatowa	53.4213648314753	14.4928094744682
37	Las Arkoński	53.4579174926694	14.516847431659698
38	Lipowa	53.47333407675745	14.60217252373695
39	Lubeckiego	53.44796022360525	14.57494340837005
40	Lubomirskiego	53.440053971470604	14.5512192696333
41	Ludowa	53.451961179617726	14.58329525343515
42	Matejki	53.435088847037505	14.56054866313935
43	Merkatora	53.405236348455446	14.5942237973213
44	Międzyparkowa	53.461651300463345	14.50784392654895
45	Modra	53.454025105791146	14.485889375209801
46	Muzeum Techniki	53.4475512878744	14.539746791124351
47	Narutowicza	53.4228685256535	14.53533327128985
48	Niemcewicza	53.4458651860904	14.5502650737762
49	Niemierzyńska Technopark	53.44915186452495	14.534963071346251
50	Osiedle Akademickie	53.421751	14.5285285
51	Osiedle Polonia	53.413111003488424	14.531776250733893
52	Osiedle Zawadzkiego	53.45725565576785	14.488373268395675
53	Parkowa	53.43574077719035	14.568208381533651
54	Parnica	53.4110128124264	14.581099984756449
55	Piastów	53.43195608605513	14.538793265819534
56	Piotra Skargi	53.439385433800396	14.53394809998705
57	Plac Gałczyńskiego	53.43931742830365	14.5308458805084
58	Plac Grunwaldzki	53.4327291115892	14.548039510846099
59	Plac Kościuszki	53.42713273284998	14.536798238754262
60	Plac Rodła	53.43190022172842	14.554562866687768
61	Plac Szarych Szeregów	53.43303392315855	14.5414225012064
62	Plac Szyrockiego	53.41581510067427	14.5319800078869
63	Plac Tobrucki	53.42101518022085	14.55362286418675
64	Plac Witosa	53.43762860287255	14.55295398831365
65	Plac Zawiszy	53.42080059363215	14.54931423068045
66	Plac Zwycięstwa	53.425803347359	14.5462967455387
67	Plac Żołnierza Polskiego	53.42865559096533	14.553049877285975
68	Pomorzany	53.40178435978692	14.527373760938652
69	Poniatowskiego	53.440720204446805	14.5134463906288
70	Potulicka	53.415188177994324	14.543436840176625
71	Rayskiego	53.434778855278395	14.5539256185293
72	Robotnicza	53.4568567913841	14.586839675903299
73	Rondo Olszewskiego	53.45858703215417	14.502137739748
74	SKM Dworzec Główny (Kolumba)	53.41873418876085	14.551847577095
75	SKM Port Centralny	53.4150497663411	14.570197928663251
76	Sikorskiego	53.424036	14.5323235
77	Smolańska	53.402283931631644	14.531653172235501
78	Sowińskiego	53.41816312239075	14.544325321912751
79	Stadion Arkonia	53.4613778335938	14.51114773750305
80	Starkiewicza	53.41015219905685	14.5303952693939
81	Stocznia Remontowa	53.4501853389382	14.5830202102661
82	Stocznia Szczecińska	53.4417562804962	14.574701339006399
83	Strzałowska	53.462822593137304	14.5947873964906
84	Szafera	53.45676895291915	14.491465687751798
85	Szkoła Salezjańska	53.42126013636005	14.5049960911274
86	Szpitalna	53.407130322566	14.5289146900177
87	Szwoleżerów	53.41989722351545	14.53378029509355
88	Tama Pomorzańska	53.409233068407005	14.5390225946903
89	Tatrzańska	53.4545330024595	14.521224796772
90	Teatr Polski	53.4330435105709	14.57158327102665
91	Tor Kolarski	53.461472848545895	14.49774608016015
92	Turkusowa	53.3799877990507	14.64312851428985
93	Turzyn	53.428234983219554	14.53229427337645
94	Unii Lubelskiej	53.45174528606445	14.51260551810265
95	Wawrzyniaka	53.43626087668795	14.5322868973017
96	Wały Chrobrego	53.430207840373654	14.567676633596399
97	Wernyhory	53.4445847896976	14.49762001633645
