52	45	0.38
45	33	0.483
33	107	0.34
107	97	0.577
97	9	0.9
9	30	0.48
30	69	0.37
69	27	0.35
27	95	0.525
95	7	0.505
7	93	0.85
93	59	0.3
59	8	0.56
8	100	0.33
100	11	0.95
11	17	0.67
17	75	0.376
75	54	0.26
54	43	0.61
43	4	0.83
4	24	1.09
24	25	0.59
25	92	2.45
92	92	0.96
92	25	0.595
25	24	0.25
24	4	0.58
4	43	0.95
43	54	2.37
54	75	0.61
75	17	1.09
17	11	0.89
11	100	0.61
100	8	0.284
8	66	0.366
66	59	0.51
59	93	0.368
93	7	0.584
7	95	0.36
95	27	0.58
27	69	0.39
69	30	0.89
30	9	0.55
9	97	0.34
97	107	0.38
107	33	0.33
33	45	0.52
45	52	0.981
