10	62	16	31	21	46	31	39	40	24	40	42	33	4	27	27	14	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	31	24	28	19	36	26	45	27	32	46	29	27	38	28	14	7	10
4	25	20	15	17	25	23	20	25	30	29	11	17	28	25	7	9	0
3	33	51	27	56	65	42	45	47	29	37	22	16	26	18	6	5	4
3	32	30	22	16	22	20	30	44	38	29	28	28	52	17	14	19	2
3	13	13	18	30	23	31	50	44	68	61	49	51	60	46	15	18	6
4	9	21	12	35	36	25	74	75	78	101	60	71	68	67	17	17	14
7	16	50	37	24	27	29	48	33	37	58	36	31	40	31	16	6	2
4	18	57	33	18	32	31	75	87	68	74	65	61	42	39	16	13	16
8	23	15	19	40	30	39	82	52	41	50	47	56	54	30	32	26	14
2	14	107	106	32	148	56	107	69	74	80	50	51	40	48	15	7	4
11	74	42	54	55	99	104	109	117	71	116	134	92	54	44	36	27	4
6	15	22	44	29	69	52	57	61	68	59	63	61	40	42	21	14	12
0	10	29	23	14	70	56	59	41	57	50	66	84	46	53	35	23	8
22	47	152	93	60	126	84	121	96	87	87	87	123	62	39	26	22	4
8	6	43	26	31	36	18	41	28	17	34	28	36	24	14	22	20	0
5	8	13	19	12	13	6	12	7	8	7	17	4	8	5	11	4	0
0	1	7	9	1	8	5	6	1	5	3	6	4	18	9	4	4	0
0	6	20	19	12	13	7	23	12	12	27	27	23	22	10	9	10	2
0	0	5	0	1	1	1	3	3	4	4	2	6	6	3	2	2	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	1	0	0	1	2	0	1	3	3	2	0	1	0	0
