5	40	17	39	11	87.58221345780167	1795.384152334155	814.0	663.3	
6	21	18	41	17	87.80389603413805	1750.8548199767724	861.0	705.8	
2	21	86	80	22	87.08188894120465	1632.398536585366	820.0	682.8	
4	33	38	76	11	83.79813910334711	1623.903504380472	799.0	665.6	
1	5	32	6	61	76.85101949025486	1466.4715909090924	792.0	667.0	
20	37	85	21	16	91.74799984464809	1429.1790476190492	735.0	626.7	
1	25	7	44	35	83.05047319402502	1839.8511138613853	808.0	654.5	
6	17	31	87	7	82.78707713217659	1873.0926739926722	819.0	660.2	
10	20	5	114	9	81.00495590062106	1559.0369512195114	820.0	691.0	
13	35	12	64	28	93.56240436241592	1557.3544632768346	885.0	744.9	
