1	2	0.35
2	3	0.15
3	4	0.6
4	5	0.4
5	6	0.5
6	7	0.5
7	8	0.6
8	9	0.5
9	10	0.6
10	11	0.3
11	12	0.7
12	13	0.4
13	14	0.35
14	13	0.35
13	12	0.39
12	11	0.71
11	15	0.25
15	16	0.3
16	17	0.8
17	18	1.0
18	19	0.6
19	1	0.4
1	20	0.35
20	21	0.66
21	22	0.3
22	23	0.4
23	24	0.4
24	25	0.2
25	26	0.7
26	27	0.9
27	28	0.3
28	29	0.7
29	30	0.7
30	18	0.5
18	31	0.85
31	32	0.35
32	16	0.45
16	18	0.5
18	1	1.08
20	33	0.7
33	34	0.83
34	35	0.68
35	36	0.67
36	37	0.82
37	38	1.05
38	37	1.05
37	39	0.81
39	36	0.68
36	35	0.68
35	18	0.83
1	3	0.4
3	18	0.6
18	40	1.7
40	41	1.4
41	42	4.4
42	43	3.85
43	44	1.0
44	43	1.0
43	42	3.85
42	41	4.4
41	40	1.4
40	18	1.7
18	3	0.6
3	1	0.4
42	45	1.9
45	46	0.5
46	47	0.87
47	46	0.87
46	45	0.5
45	42	1.9
