0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	5	6	0	1	0	5	4	0	8	4	0	0	0	0	0	0
0	18	16	12	15	31	18	38	25	14	13	16	10	0	4	3	1	2
2	11	11	8	5	6	15	11	8	5	6	4	2	6	0	5	0	0
3	25	43	18	32	40	42	39	26	14	27	12	12	8	8	6	3	6
0	19	15	11	16	17	11	15	12	8	17	8	3	10	7	7	0	0
4	18	19	11	17	13	24	17	18	18	29	13	13	28	20	1	2	0
4	21	16	21	16	24	12	27	37	44	59	18	17	18	18	7	7	0
3	16	22	12	23	14	18	28	22	31	51	21	27	18	30	6	8	0
10	13	48	31	24	31	27	76	57	90	76	52	50	68	31	15	21	30
2	12	9	13	22	31	22	35	35	34	44	38	34	40	21	9	20	2
1	9	20	26	18	74	31	66	53	30	42	30	33	40	25	14	12	4
13	40	54	53	41	68	40	81	68	53	74	59	63	58	26	23	22	4
4	33	53	65	36	66	53	86	71	69	72	73	59	50	50	18	9	16
1	14	21	31	39	83	104	107	109	103	122	79	116	86	104	37	16	4
9	45	96	79	76	187	116	139	184	132	122	110	107	98	122	55	33	30
5	31	53	60	20	65	50	77	45	83	78	139	152	54	36	39	11	4
2	33	66	25	29	71	40	37	41	29	22	39	26	12	14	23	8	2
18	16	20	29	19	21	9	15	10	8	17	23	9	10	7	12	1	2
13	40	89	74	42	53	27	85	42	35	59	48	63	34	16	18	20	0
7	17	43	36	24	24	24	51	42	39	51	67	67	76	47	42	66	4
3	9	19	14	10	5	3	12	2	9	4	17	15	20	9	6	7	4
