1	Автовокзал	48.65028275331941	34.33501283033775
2	Автосвіт	48.64915493991049	34.33655998572228
3	вул. Київська	48.64562451729458	34.33789613915477
4	Пам’ятник Танк	48.6406440928565	34.33950287668068
5	вул. Тітова	48.64000300503094	34.338988525501414
6	вул. Шкільна	48.64097881328071	34.33392066331773
7	Школа #2	48.64561990168174	34.33314134021184
8	Магазин Цитрон	48.648449729341166	34.33588042110907
9	Магазин Веселка	48.652760163479435	34.33549052534232
10	Лікарня	48.655054215384986	34.340520072861665
11	ДНЗ Золота рибка	48.65558048603639	34.344623193359816
12	Магазин Литвинівський	48.65941843398202	34.354057211077894
13	вул. Упорна	48.66020917285832	34.35813346683845
14	Інтернат	48.65760842950013	34.35911956823017
15	Магазин Трійка	48.655398966207166	34.34232250190097
16	вул. Затишна	48.658007305343176	34.34181750452777
17	Школа #5	48.66132093399126	34.334137812226025
18	Пам’ятник Літак	48.658600942229896	34.325006360410754
19	Магазин Наш край	48.65452220791504	34.32953900106901
20	Слави	48.65195031847657	34.334932119034036
21	Ринок	48.65266267297679	34.32916170524519
22	вул. Коротка	48.650506427660225	34.327422587037276
23	вул. Робоча	48.64670480411309	34.32636424627174
24	Магазин Продукти 1	48.642963633308035	34.32540868004431
25	Автосервіс	48.64112877414503	34.32475248794592
26	ПрАТ ВЛМЗ	48.63716393834305	34.32515466820433
27	вул. Яблунева	48.64286453063818	34.31730048853744
28	Магазин Продукти 2	48.64513973108188	34.316349175500676
29	ВУЕГГ	48.65043436936981	34.319474213047535
30	Будівельний магазин	48.656094307943775	34.32443466870193
31	Парк Семенова	48.659637694208776	34.334197978460374
32	Коледж ДДАУ	48.659913056301	34.33850562965818
33	Магазин Театральний	48.65443168693858	34.32967353069737
34	Магазин Берізка	48.65876078531532	34.325559750405546
35	РЕМ	48.65831420895745	34.31678601322437
36	вул. Коцюбинського	48.65568394616284	34.30923591508468
37	Амбулаторія	48.65355773558797	34.29595878034989
38	вул. Миру	48.651775783648496	34.28159523552229
39	вул. Дружби народів	48.653559490212594	34.29872751342133
40	Майдан	48.62794890659836	34.34409834168454
41	5-й кілометр	48.61611311610872	34.34876005268844
42	КПК смт Дніпровське	48.58159633769621	34.372906696182504
43	Вул. Центральна	48.59137661559161	34.41428432828005
44	смт. Дніпровське	48.59584161000693	34.424008921910136
45	с. Новомиколаївка	48.56449669344631	34.37742126465871
46	с. Новомиколаївка 2	48.56098233727774	34.37841606049878
47	станція Новомиколаївка	48.553939030770344	34.37575740612676
