1	2	0.05
2	3	0.51
3	4	0.78
4	5	0.43
5	6	0.57
6	7	0.27
7	8	0.67
8	9	0.60
9	10	0.85
10	11	0.75
11	12	0.67
12	13	0.36
13	14	0.34
14	15	0.55
15	16	0.53
16	17	0.34
18	19	0.60
19	20	0.80
20	21	0.44
21	22	0.72
22	23	0.31
23	24	0.68
24	25	0.76
25	26	0.73
26	27	0.65
27	28	0.34
28	10	0.19
10	29	0.65
29	30	0.66
30	31	0.85
31	32	0.30
32	33	0.26
33	34	0.39
60	58	0.45
58	37	0.45
37	38	0.58
38	39	0.40
39	40	0.68
40	41	0.28
41	8	0.48
9	181	0.41
181	10	0.43
11	66	0.58
66	67	0.54
67	68	0.53
68	69	0.62
69	70	0.67
70	71	0.43
71	72	0.28
30	57	0.50
50	51	0.20
51	52	0.52
52	53	0.53
53	54	0.39
54	55	0.49
55	56	0.43
56	57	0.65
53	75	0.44
73	74	0.37
74	75	0.40
73	42	1.03
41	42	0.50
3	37	0.85
2	1	0.05
3	2	0.51
4	3	0.78
5	4	0.43
6	5	0.57
7	6	0.27
8	7	0.67
9	8	0.60
10	9	0.85
11	10	0.75
12	11	0.67
13	12	0.36
14	13	0.34
15	14	0.55
16	15	0.53
17	16	0.34
19	18	0.60
20	19	0.80
21	20	0.44
22	21	0.72
23	22	0.31
24	23	0.68
25	24	0.76
26	25	0.73
27	26	0.65
28	27	0.34
10	28	0.19
29	10	0.65
30	29	0.66
31	30	0.85
32	31	0.30
33	32	0.26
34	33	0.39
58	60	0.45
37	58	0.45
38	37	0.58
39	38	0.40
40	39	0.68
41	40	0.28
8	41	0.48
181	9	0.41
10	181	0.43
66	11	0.58
67	66	0.54
68	67	0.53
69	68	0.62
70	69	0.67
71	70	0.43
72	71	0.28
57	30	0.50
51	50	0.20
52	51	0.52
53	52	0.53
54	53	0.39
55	54	0.49
56	55	0.43
57	56	0.65
75	53	0.44
74	73	0.37
75	74	0.40
42	73	1.03
42	41	0.50
37	3	0.85
58	59	1.05
59	60	0.26
60	59	0.26
59	58	1.05
