27	28	0.3
28	39	0.2
39	18	1.0
18	23	0.5
23	26	0.5
26	15	0.3
15	31	0.5
31	32	0.7
32	31	0.5
31	15	0.7
15	26	0.3
26	23	0.5
23	18	0.6
18	35	0.5
35	25	0.7
25	27	0.3
27	28	0.3
28	39	0.7
39	18	0.5
18	9	0.6
9	11	0.4
11	7	0.4
7	8	0.4
8	10	0.5
10	4	0.6
4	5	0.3
5	6	0.3
6	5	0.3
5	4	0.3
4	10	0.6
10	8	0.5
8	7	0.4
7	11	0.4
11	9	0.4
9	18	0.6
18	35	0.5
35	25	0.6
25	27	0.3
18	35	0.6
35	20	0.5
20	21	0.3
21	22	0.3
22	19	0.3
19	14	0.4
14	12	0.4
12	13	0.5
13	12	0.5
12	14	0.4
14	19	0.4
19	22	0.3
22	21	0.3
21	20	0.3
20	35	0.5
35	18	0.6
27	28	0.3
28	39	0.2
39	18	1.0
18	23	0.5
23	24	0.4
24	17	0.5
17	16	0.4
16	40	0.4
40	41	0.4
41	30	0.5
30	42	0.3
42	43	0.4
43	2	0.3
2	3	0.3
3	33	0.8
33	34	0.4
34	29	0.4
29	34	0.4
34	1	0.4
1	2	0.8
2	36	0.3
36	37	0.6
37	38	0.8
38	37	0.8
37	36	0.6
36	43	0.3
43	42	0.4
42	30	0.3
30	41	0.5
41	40	0.4
40	16	0.4
16	17	0.4
17	24	0.5
24	23	0.4
23	18	0.5
18	35	0.5
35	25	0.6
25	27	0.3
